lsat,ugpa,zfygpa,race
36.0,3.5,0.58,white
33.0,3.1,0.54,white
43.0,3.1,1.15,white
31.0,2.7,-1.79,black
32.5,2.5,0.24,white
41.0,3.6,1.36,white
40.0,3.2,1.31,white
35.0,2.4,-0.71,black
30.0,3.5,0.11,white
41.0,3.2,0.31,white
33.0,3.1,0.81,white
43.0,3.7,-0.1,white
39.0,2.9,-0.17,white
36.0,3.1,-1.17,white
38.0,3.5,0.55,white
45.0,3.2,-0.04,white
41.0,3.5,-0.17,white
32.0,3.0,0.44,white
46.0,3.6,-0.07,white
46.0,3.5,1.54,white
31.0,3.2,-0.44,white
39.0,2.3,-0.66,white
36.0,2.7,-1.4,white
34.0,3.9,1.43,white
36.0,3.3,0.39,white
39.0,3.4,0.81,white
34.0,2.9,1.61,white
36.0,2.8,0.14,white
20.0,2.5,-0.8,black
35.0,3.7,-0.79,white
36.0,3.2,-0.67,white
36.0,3.0,-0.81,white
33.0,3.8,-0.93,white
36.0,2.5,-0.21,white
36.5,3.1,1.83,white
25.5,2.5,-1.72,white
37.0,2.7,0.4,white
34.0,3.8,-0.18,white
41.0,3.6,0.68,white
29.5,2.2,0.1,white
34.0,3.2,0.75,white
46.0,3.9,0.55,white
44.0,3.6,1.04,white
36.0,3.5,-1.37,white
40.0,3.9,-0.16,white
40.0,3.1,1.31,white
31.0,3.7,1.04,black
35.5,3.5,0.13,white
39.0,3.1,-0.63,white
42.0,3.9,0.88,white
39.0,3.4,0.52,white
38.0,3.0,0.24,white
34.0,3.6,1.4,white
29.0,2.5,1.02,white
46.0,3.1,-0.29,white
47.0,2.3,0.51,white
34.0,3.4,-1.35,white
40.0,3.7,1.61,white
42.0,4.0,1.5,white
36.0,3.1,-0.76,white
38.0,3.5,0.71,white
44.0,3.5,-0.45,white
34.0,3.1,-0.6,white
27.0,2.5,-0.58,black
46.0,3.5,-0.89,white
47.0,2.5,-1.38,white
33.0,4.0,-0.2,white
40.0,3.4,1.01,white
26.5,3.0,0.09,black
39.0,3.5,-0.02,white
37.0,3.1,-0.07,white
41.0,3.7,0.04,white
42.0,3.1,0.49,white
36.0,3.3,-1.09,white
25.0,3.0,-1.54,white
23.5,3.0,-1.39,black
33.0,3.5,0.09,white
42.0,3.5,1.15,white
44.0,3.1,1.4,white
32.0,3.4,0.92,white
38.0,3.9,-0.48,white
36.0,3.5,-0.11,white
32.5,3.2,1.41,white
32.0,3.3,0.28,white
35.0,2.7,-1.92,black
38.0,3.3,-0.48,white
25.0,2.9,-1.11,black
39.0,2.2,1.18,white
39.0,4.0,-0.25,white
37.0,3.1,0.06,white
41.0,3.0,-0.02,white
35.0,3.8,-0.45,white
36.0,3.0,-0.54,white
37.0,3.2,-0.97,white
39.0,2.6,0.29,white
35.0,3.0,-1.68,black
42.0,3.7,0.4,white
33.0,3.1,-0.24,white
41.0,3.5,0.46,white
25.5,2.6,-1.01,white
34.0,3.1,-0.73,white
23.5,3.6,0.69,white
28.0,2.9,-1.83,black
38.0,2.4,-0.2,white
43.0,3.3,2.09,white
38.5,2.9,-0.67,white
31.0,2.8,0.02,black
35.0,3.7,-1.48,white
42.0,3.6,0.67,white
37.5,3.7,-0.23,white
39.0,2.7,-1.23,white
40.0,3.8,1.16,white
38.0,3.1,0.07,white
41.0,3.6,-0.42,white
35.0,3.8,-0.06,white
41.0,3.6,0.12,white
34.0,3.4,1.73,white
37.0,3.8,0.26,white
28.0,3.1,-0.34,black
31.0,3.3,-1.63,white
36.0,3.1,-1.83,white
39.0,3.5,0.31,white
40.0,3.0,1.55,white
44.0,3.6,0.33,white
37.0,3.0,-0.63,white
42.0,2.7,0.37,white
32.7,3.4,-1.0,white
35.0,3.0,-0.88,white
45.0,3.0,0.44,white
31.0,3.5,0.07,white
35.0,3.7,0.12,white
39.0,2.8,-0.57,white
36.0,3.1,0.37,white
35.0,3.2,-1.1,black
31.5,3.1,-1.72,white
35.0,3.7,1.36,white
38.0,3.3,-0.9,white
29.0,3.1,-1.27,white
30.0,3.3,1.11,white
28.0,2.0,-0.63,white
34.0,3.3,-0.47,white
36.0,2.6,-1.63,white
40.0,2.5,-0.97,white
42.0,2.8,0.73,white
40.0,3.4,1.44,white
40.0,3.8,0.79,white
35.0,3.2,-0.99,white
36.0,3.0,1.67,white
39.0,3.6,0.08,white
46.0,2.9,1.26,white
39.0,2.8,-0.73,white
38.0,3.5,0.48,white
35.5,3.4,-0.19,white
30.5,3.3,-0.18,white
36.0,3.0,-0.8,white
25.0,3.1,-0.95,white
39.0,2.7,0.39,white
32.0,3.4,0.75,white
33.0,2.8,-0.24,white
41.0,2.8,-0.24,white
33.0,2.8,-0.16,white
33.0,3.4,0.37,white
38.0,3.7,-0.07,white
37.0,3.3,-0.08,white
38.0,2.8,-0.74,white
35.0,3.0,0.42,white
39.0,3.1,-0.84,white
33.0,3.5,0.43,white
29.0,2.9,-1.03,white
35.0,3.4,1.11,white
39.0,3.0,-0.54,white
37.0,2.7,0.14,white
40.0,2.2,-1.09,black
36.5,3.0,2.39,white
43.0,3.4,1.57,white
28.0,3.1,-0.21,white
42.0,3.2,0.92,white
34.0,3.1,1.35,white
46.0,3.3,0.97,white
43.0,3.1,-0.18,white
36.0,2.9,-1.44,white
40.0,3.4,0.55,white
32.0,2.4,-1.01,black
34.0,2.5,-1.02,white
33.0,3.3,0.92,white
33.0,2.7,-1.23,white
36.0,3.2,-0.14,white
41.0,2.8,-0.55,white
31.5,3.2,-0.34,white
33.0,3.3,1.09,white
35.0,2.7,-0.28,white
37.0,3.5,1.3,white
35.0,3.0,0.52,white
37.0,4.0,0.04,white
37.0,2.9,0.6,white
38.0,2.6,0.93,white
38.0,3.3,0.43,white
38.0,3.5,0.58,white
44.0,3.7,1.72,white
35.0,2.7,0.9,white
39.0,3.9,0.36,white
34.0,3.4,-0.88,white
40.0,2.7,0.22,white
43.0,3.6,0.21,white
33.0,3.1,-0.75,white
44.0,3.7,-0.04,white
30.0,3.9,0.31,white
42.0,3.0,0.38,white
31.0,3.6,-1.21,white
33.7,2.6,-0.99,white
32.5,2.9,-1.28,white
33.0,3.6,-0.43,white
30.0,2.9,-0.72,white
33.0,3.2,1.57,white
34.0,3.6,0.22,white
42.5,3.7,1.14,white
36.0,4.0,0.24,white
34.0,3.2,-0.32,black
39.0,3.4,0.26,white
44.0,3.6,0.35,white
36.5,3.8,0.55,white
23.5,2.7,0.02,black
29.0,3.5,-2.36,black
35.0,3.5,0.12,white
34.0,3.0,0.19,white
35.0,3.0,0.16,white
35.0,2.7,-0.19,black
30.0,3.5,-1.07,white
24.0,2.5,-1.31,black
36.0,3.0,0.35,white
39.0,4.0,1.59,white
31.5,2.0,-0.68,black
39.0,3.0,0.12,white
38.0,3.1,0.79,white
36.0,4.0,-0.6,white
40.0,3.3,0.73,white
37.0,3.6,-0.2,white
40.0,3.8,1.32,white
44.0,3.7,-0.15,white
48.0,4.0,0.25,white
47.0,3.0,1.39,white
32.0,3.1,-0.76,white
38.0,3.5,1.26,white
40.0,3.1,-0.11,white
39.0,3.6,0.51,white
39.0,2.7,1.16,white
47.0,3.9,0.7,white
44.0,3.7,0.22,white
39.0,2.6,-0.55,white
36.0,3.0,0.86,black
39.0,2.7,-0.43,white
36.0,3.0,-1.47,white
41.0,3.5,0.72,white
32.0,3.4,0.85,white
34.0,2.8,0.91,white
42.0,2.1,0.25,white
42.0,2.8,1.88,white
29.0,2.7,0.93,white
32.0,3.6,0.5,white
32.0,3.5,0.68,white
39.0,3.3,1.3,white
42.0,3.5,0.66,white
35.0,2.3,1.65,white
33.0,3.0,-3.14,black
39.0,3.4,-0.16,white
37.0,3.1,-3.1,white
41.0,4.0,0.16,white
38.5,3.1,-0.2,white
39.0,3.3,-0.56,white
37.0,3.1,0.57,white
36.0,2.4,0.6,white
46.0,3.3,-0.43,white
32.0,3.4,0.32,white
41.0,3.4,-0.95,white
41.0,3.0,0.2,white
36.0,3.9,-0.64,white
38.0,2.8,0.32,white
40.0,3.5,-0.61,white
45.0,2.1,-2.99,white
36.0,3.1,-0.37,white
37.0,3.5,-0.21,white
40.0,3.4,0.07,white
40.0,2.8,-0.39,white
35.0,2.9,-0.73,white
39.0,2.8,0.28,white
30.0,3.6,0.98,white
40.0,3.0,0.34,white
48.0,3.8,2.66,white
31.0,3.2,1.55,white
36.0,3.9,0.92,white
38.0,3.7,-2.75,white
34.5,2.6,-1.44,black
44.0,3.6,0.48,white
32.0,2.7,-1.43,black
40.0,3.7,0.15,white
32.0,3.3,-0.12,white
38.0,3.4,0.09,white
39.0,2.7,0.18,white
28.0,2.9,-0.66,white
43.0,2.5,0.05,white
35.0,2.6,-0.53,white
40.5,3.7,0.83,white
29.0,3.1,-0.01,white
24.0,2.9,-0.91,white
37.0,3.2,-1.21,white
33.0,2.7,-0.51,white
40.0,3.2,-0.72,white
36.0,2.2,-1.06,black
39.0,2.8,-0.13,white
34.0,3.3,0.52,white
35.0,3.1,-1.38,white
45.0,3.7,-1.29,white
35.0,3.9,0.2,white
34.0,3.4,0.1,white
41.0,3.5,0.2,white
41.0,3.8,1.37,white
26.0,3.6,-1.74,black
44.0,3.2,0.48,white
36.0,3.8,-0.36,white
46.0,2.9,1.02,white
35.0,3.4,0.4,white
37.0,3.7,0.62,white
41.0,3.6,-0.47,white
24.0,3.0,-1.62,black
37.0,3.4,1.42,white
32.0,3.2,-1.55,white
36.0,3.1,-0.01,white
34.0,3.3,-2.04,white
39.0,3.2,-1.29,white
42.0,3.1,0.01,white
47.0,3.4,1.46,white
34.5,3.3,-0.07,white
25.0,2.9,-0.9,white
46.0,3.2,-0.12,white
32.0,2.9,1.29,white
46.0,3.5,1.3,white
43.0,3.3,0.18,white
28.0,2.7,-2.39,black
39.0,3.6,-0.44,white
42.0,2.6,1.21,white
41.0,3.3,0.98,white
25.0,3.5,-1.56,black
36.0,2.7,0.29,white
36.0,3.4,0.05,white
31.0,3.0,0.82,white
46.0,3.6,0.8,white
38.0,3.6,0.55,white
46.0,3.2,-0.35,white
31.5,3.2,0.16,white
40.0,3.9,1.02,white
35.0,2.9,-1.47,white
41.0,3.8,0.78,white
40.0,3.5,-0.05,white
35.0,2.9,-0.96,white
42.0,3.8,0.87,white
38.0,3.0,0.92,white
40.0,3.7,0.34,white
25.5,3.5,-2.5,white
44.0,3.5,1.27,white
41.0,2.9,1.81,white
42.0,3.0,1.19,white
32.0,3.7,-1.24,white
36.0,3.6,1.1,white
42.0,3.2,-0.04,white
36.0,3.0,0.72,white
40.0,3.7,-0.83,white
44.0,3.4,-0.12,white
36.5,3.3,0.79,white
34.0,3.6,-0.54,white
33.0,2.8,-0.1,white
29.0,3.5,0.0,white
40.0,2.6,0.35,white
39.0,3.5,0.17,white
39.0,3.4,0.75,white
37.0,3.3,-1.07,white
35.0,3.2,0.38,white
40.0,3.4,2.03,white
36.0,3.3,1.04,white
42.0,4.0,1.26,white
47.0,3.3,-0.41,white
32.0,3.5,0.71,white
33.5,2.9,-0.68,white
44.0,3.5,-1.31,white
34.5,2.6,0.14,black
46.0,3.8,0.33,white
47.0,3.4,-0.75,white
40.0,3.2,0.09,white
21.0,3.9,-1.09,black
37.0,3.1,0.43,white
28.0,3.2,1.15,white
21.0,3.5,-1.75,black
28.0,3.6,-0.86,white
27.0,3.3,0.39,white
38.0,2.5,-0.22,white
33.0,3.1,-0.06,white
36.5,3.6,1.36,white
35.0,3.1,-0.03,white
44.0,3.9,-1.31,white
30.5,3.3,0.68,white
40.0,3.2,-0.14,white
37.0,2.7,1.49,white
36.0,3.5,-0.01,white
41.0,3.8,0.02,white
40.0,3.6,0.79,white
40.0,3.2,-1.23,white
29.0,2.7,-0.33,white
39.0,3.1,1.39,white
38.0,3.3,-0.96,white
40.0,3.2,1.38,white
30.0,2.5,-0.86,black
33.0,3.5,-0.54,white
34.0,2.9,0.7,white
30.0,3.6,1.38,white
27.0,2.8,1.43,white
40.0,3.1,-0.34,white
30.0,3.4,-1.0,white
48.0,3.4,2.08,white
44.0,3.0,0.86,white
39.0,3.3,0.72,white
25.5,2.8,-0.08,white
43.0,3.1,-0.43,white
40.0,3.8,-0.02,white
35.0,2.7,-0.79,white
37.0,2.8,0.15,white
35.0,2.8,0.15,white
39.0,3.0,0.33,white
38.0,3.3,-0.25,white
35.0,3.8,0.12,white
43.0,3.4,-1.11,white
42.0,3.1,0.21,white
42.0,3.2,1.36,white
35.0,2.9,-0.25,white
39.0,2.3,-0.52,white
34.0,3.0,0.01,white
39.0,3.7,1.19,white
23.7,2.8,0.28,white
30.5,2.7,0.31,white
38.0,2.2,-0.94,black
38.0,3.9,-0.24,white
32.0,2.5,0.61,white
43.0,2.7,1.5,white
42.0,3.9,-1.29,white
34.0,3.2,-0.34,white
45.0,3.2,1.15,white
39.0,3.3,0.83,white
33.5,2.8,0.86,white
33.0,3.8,0.7,white
35.0,3.4,-0.26,white
31.0,3.6,-1.61,white
32.0,3.3,-1.77,white
38.0,3.4,0.59,white
36.0,3.4,1.26,white
36.0,3.4,-1.03,white
47.0,3.0,-0.18,white
46.0,3.4,-1.06,white
39.0,3.3,-0.29,white
32.0,3.5,0.71,black
31.0,2.6,-0.52,white
25.5,2.4,-0.8,black
36.0,2.2,-1.57,black
32.0,2.8,-0.59,white
38.0,3.2,-1.29,white
30.5,3.3,0.49,white
40.0,3.5,-1.27,white
40.0,3.7,0.82,white
45.0,3.1,1.58,white
31.0,3.1,-0.31,white
41.0,3.7,1.66,white
40.0,3.1,1.24,white
37.0,2.7,-0.64,white
41.0,3.4,-0.7,white
38.0,3.5,-0.27,white
26.7,3.1,1.55,white
42.0,3.0,-1.02,white
38.0,2.3,-1.18,white
38.0,3.1,0.72,white
43.0,3.1,0.82,white
41.0,2.3,0.64,white
37.0,3.9,-0.77,white
39.0,3.9,0.1,white
28.3,3.1,1.54,white
36.0,3.7,0.23,white
41.0,3.3,0.26,white
35.0,2.4,0.51,white
35.0,3.5,0.46,white
40.0,2.9,-0.47,white
30.0,3.1,-1.89,white
26.0,3.6,-0.47,white
38.0,3.3,-0.68,white
31.0,2.8,1.1,white
33.0,2.4,-0.27,white
37.0,3.4,0.83,white
41.0,3.4,-0.35,white
34.0,3.4,-0.47,white
41.0,3.8,-0.64,white
17.0,3.0,-0.68,black
38.0,3.5,-0.39,white
39.0,3.6,0.85,white
36.0,3.5,1.19,white
30.0,3.4,0.32,white
30.0,2.5,1.04,white
36.0,3.1,0.11,white
32.5,2.7,1.02,white
47.0,3.2,0.69,white
29.0,2.8,-0.12,white
35.5,2.9,0.65,white
35.0,3.7,0.74,white
33.0,3.2,-1.91,white
33.0,3.3,-1.39,white
39.0,3.4,0.01,white
27.0,3.6,-1.13,white
38.0,3.0,0.97,white
42.0,2.9,-1.33,white
34.0,3.1,0.87,white
28.0,3.1,-1.08,white
30.0,2.4,-0.74,white
30.0,2.9,-0.64,white
38.0,2.7,-1.07,white
39.0,2.5,-0.1,white
42.0,3.1,0.93,white
44.0,3.0,0.92,white
23.0,2.7,-0.81,black
32.0,2.7,1.16,white
43.0,3.8,1.51,white
36.0,3.0,-0.01,white
33.0,2.9,-0.39,white
41.0,3.7,-0.05,white
44.0,2.8,1.63,white
42.0,3.2,0.95,white
30.0,2.8,-2.58,black
37.0,2.6,-0.94,white
39.0,3.7,0.37,white
34.0,2.8,1.51,white
43.0,2.7,-1.02,white
44.0,3.2,0.98,white
32.0,3.3,-0.66,black
31.0,2.7,-0.29,white
42.0,2.9,-0.23,white
38.0,3.8,1.38,white
35.0,3.0,0.73,white
26.0,2.3,-1.31,black
39.0,3.5,1.1,white
35.0,3.3,0.41,white
31.0,3.2,0.9,white
43.0,3.2,1.59,white
40.0,2.8,0.09,white
45.0,3.1,1.33,white
44.0,3.4,0.75,white
37.5,3.4,1.1,white
35.0,3.2,1.21,white
27.0,2.6,0.94,white
37.0,3.0,-1.31,white
47.0,3.7,0.8,white
48.0,3.6,1.44,white
35.0,3.3,0.24,white
43.0,3.5,-0.42,white
35.0,3.1,-0.52,white
34.0,3.5,0.05,white
30.0,2.8,-0.89,black
37.0,2.9,-0.75,white
43.0,3.5,1.05,white
39.0,3.3,0.15,white
40.0,3.5,1.96,white
36.0,3.0,3.25,white
20.0,3.1,-1.78,black
42.0,3.4,-0.77,white
32.0,3.5,-0.58,white
47.0,3.5,0.94,white
29.0,3.3,0.03,white
33.0,3.0,0.32,white
33.0,3.2,0.44,white
28.0,2.9,-1.34,black
36.5,3.6,0.01,white
41.0,3.5,-0.17,white
32.0,3.3,-1.16,white
40.0,3.1,-0.95,white
32.0,3.7,0.17,white
35.0,2.5,-0.89,white
42.0,2.8,-0.75,white
43.0,2.4,-0.15,white
35.0,2.9,0.8,white
17.5,3.6,-1.54,black
42.0,3.7,0.74,white
46.0,3.6,-0.84,white
30.7,3.0,1.27,white
39.0,3.5,0.06,white
38.0,3.0,0.83,white
36.0,4.0,1.61,white
39.0,3.4,-0.7,white
39.0,3.9,1.6,white
23.7,3.0,-1.62,black
36.0,3.1,0.61,white
41.0,3.8,1.44,white
48.0,3.3,0.22,white
32.0,3.3,-0.37,white
33.0,2.8,0.24,black
26.0,3.1,0.89,black
33.0,3.4,0.47,white
35.0,3.1,-1.58,white
35.0,2.7,-0.56,white
43.0,3.8,0.61,white
40.0,3.9,0.24,white
37.0,2.9,-1.2,white
36.0,3.1,1.16,white
38.0,3.3,-0.88,white
31.0,3.3,-1.09,black
39.0,2.9,-0.16,white
48.0,3.7,0.04,white
36.0,3.2,-0.7,white
40.0,3.4,0.16,white
37.0,3.6,-0.1,white
39.0,3.3,0.12,black
28.0,2.2,-1.47,white
38.0,3.2,1.92,white
33.0,2.9,-0.47,white
38.0,3.5,-0.32,white
35.0,3.7,0.06,white
38.0,3.5,-1.3,black
25.0,3.1,-0.65,black
35.0,3.2,2.06,white
42.0,3.6,0.77,white
39.0,3.2,-0.84,white
40.0,3.0,1.7,white
40.0,3.3,-0.12,white
34.5,3.1,-0.8,white
37.0,2.7,-1.4,white
40.0,2.4,1.16,white
39.0,3.4,-0.77,white
29.0,2.8,-1.64,black
35.0,2.9,1.44,white
40.0,3.3,0.45,white
32.0,3.6,0.41,white
40.0,2.0,1.2,white
41.0,3.5,1.26,white
39.0,3.9,0.64,white
24.0,2.5,-1.47,black
39.0,3.0,0.68,white
32.0,2.7,0.25,white
34.0,2.2,-0.54,white
39.5,3.5,0.74,white
37.0,3.0,1.15,white
36.0,3.1,0.47,white
43.0,3.3,-0.8,white
35.3,3.1,0.67,white
31.0,3.9,-0.28,white
41.0,3.7,-0.02,white
40.0,2.6,1.46,white
41.0,2.5,1.11,white
21.5,2.6,-1.23,black
27.5,2.7,-1.76,black
34.0,2.8,-1.15,black
28.0,3.5,0.35,white
42.0,2.9,0.15,white
33.0,3.5,-0.88,white
43.0,3.3,-0.07,white
36.5,3.1,-0.42,white
47.0,3.7,1.16,white
43.0,3.7,0.95,white
33.0,3.5,-1.72,white
46.0,3.5,0.47,white
19.0,3.0,-0.8,black
29.0,3.1,0.29,black
47.0,2.8,0.92,white
32.0,2.8,1.21,white
42.0,3.4,0.29,white
40.0,3.3,1.33,white
34.0,3.5,0.23,white
31.0,3.8,-0.45,white
39.0,3.1,-0.02,black
36.5,3.1,0.09,white
35.0,3.0,-0.26,white
18.0,2.8,-1.04,black
39.0,2.6,0.33,white
34.0,3.1,0.57,white
44.0,3.2,-0.88,white
35.0,3.7,-0.37,white
34.0,3.5,-0.11,white
34.0,3.4,-0.59,white
46.0,3.2,2.61,white
36.0,3.7,-2.3,white
34.0,2.9,1.61,white
39.0,3.3,0.53,white
44.0,2.6,-0.05,white
40.0,3.1,-0.63,white
36.0,3.2,-0.23,white
32.5,3.5,-1.56,black
41.0,3.1,0.88,white
38.0,3.4,-1.5,white
42.0,3.6,-0.22,white
38.0,3.1,-0.18,white
29.0,3.3,-0.44,white
33.0,3.1,1.33,white
48.0,3.9,-0.03,white
36.0,3.6,0.14,white
34.0,3.5,0.51,white
28.0,2.7,-0.64,black
35.0,3.2,-0.18,white
36.0,2.9,-0.8,white
33.0,3.3,0.28,white
48.0,3.6,0.67,white
39.0,3.4,0.16,white
31.5,2.9,0.07,white
34.0,3.0,-0.47,black
38.0,3.1,-0.81,white
37.0,3.6,0.61,white
30.0,2.6,-0.3,white
39.0,4.0,1.46,white
33.0,3.8,-0.89,white
26.5,3.0,0.39,white
35.0,2.2,-0.89,white
42.0,3.8,0.45,white
37.0,3.7,0.95,white
34.0,3.8,0.21,white
35.0,3.2,1.44,white
37.0,3.6,1.21,white
32.0,2.5,-0.3,white
46.0,3.8,1.49,white
44.0,3.1,-0.27,white
42.5,3.0,2.18,white
43.0,3.0,-0.43,white
27.5,2.4,-0.97,black
33.0,3.3,0.14,black
39.0,3.8,0.08,white
39.0,3.0,-0.39,white
34.0,3.3,1.15,white
39.0,3.2,0.15,white
35.0,3.2,0.0,white
31.0,3.2,0.58,white
36.0,3.2,-2.14,white
32.0,2.8,-1.49,white
24.0,2.8,-1.84,black
35.0,3.6,-1.28,white
46.0,3.8,2.21,white
42.0,4.0,1.52,white
46.0,3.9,1.08,white
45.0,3.8,-0.8,white
45.0,3.7,0.6,white
35.0,3.0,0.18,white
43.0,4.0,2.3,white
41.0,3.8,-0.47,white
46.0,3.8,-0.36,white
38.0,3.1,0.58,white
43.0,3.7,0.86,white
33.0,3.8,-1.18,white
36.0,3.4,-2.04,white
38.0,3.7,-0.84,white
34.0,3.5,0.42,white
30.0,3.1,-0.1,white
45.0,3.7,0.27,white
48.0,3.4,1.26,white
41.0,2.7,-0.03,black
33.0,3.0,-2.46,white
44.0,3.6,2.5,white
32.0,2.2,0.56,white
36.0,3.6,0.51,white
36.0,2.9,-0.11,white
44.0,3.9,0.55,white
30.0,2.9,-0.26,black
31.0,2.2,-0.42,black
37.5,3.7,0.05,white
34.0,3.1,1.81,white
40.0,3.3,-0.49,white
30.0,2.6,0.42,white
31.0,3.6,-0.8,white
39.0,3.2,-0.96,white
39.0,2.5,-0.23,white
36.0,2.9,0.08,white
28.5,3.3,-1.31,white
43.0,2.9,0.2,white
35.0,3.1,0.26,white
41.0,3.3,1.88,white
35.0,2.5,-1.63,white
44.0,3.7,2.05,white
28.0,2.8,-0.19,white
36.0,3.1,-0.21,white
38.5,2.9,0.4,white
34.0,3.2,0.34,white
40.0,3.2,-1.09,white
21.0,2.9,-0.84,black
34.0,2.8,1.11,white
20.0,2.1,-2.84,black
43.0,3.8,1.76,white
35.0,3.6,-0.56,white
40.0,3.2,1.05,white
42.0,3.5,0.83,white
36.0,3.1,1.27,white
35.0,2.9,1.94,white
27.0,3.0,-1.17,black
44.0,3.6,0.27,white
35.0,2.8,-0.36,white
36.0,2.1,-0.07,white
32.0,3.0,-0.03,white
26.0,2.6,-0.06,black
34.0,2.6,0.54,white
36.0,3.5,0.21,white
35.0,3.0,-0.49,white
34.0,3.4,-2.09,white
29.0,2.1,-0.6,black
46.0,2.5,0.21,white
36.0,3.7,0.92,white
34.0,2.8,-0.24,white
30.5,2.9,-1.39,white
32.0,3.7,0.83,white
37.0,3.3,1.22,white
33.0,2.7,-1.28,black
28.5,3.3,-0.41,white
42.0,3.7,0.07,white
46.0,3.8,1.2,white
29.0,2.7,-0.04,black
32.0,3.7,0.78,white
29.0,2.4,-1.68,white
46.0,3.3,0.42,white
38.0,3.4,0.88,white
43.0,3.0,0.48,white
44.0,3.1,-1.03,white
46.0,3.9,1.73,white
34.0,2.9,-0.14,white
35.0,3.7,-0.85,white
30.7,2.3,0.16,white
32.0,3.2,-0.44,black
37.0,3.4,1.22,white
44.0,3.9,-0.25,white
32.0,3.0,0.56,white
35.0,3.4,-0.21,white
44.0,3.8,0.78,white
34.0,3.0,-0.85,white
45.0,3.4,1.4,white
33.0,3.6,0.04,white
24.0,3.6,-0.87,white
36.0,3.3,0.67,white
33.0,3.2,-0.93,black
37.0,3.2,0.14,white
42.0,3.7,-0.39,white
40.0,3.1,0.52,white
35.0,3.1,0.28,white
30.0,3.1,1.86,white
40.0,3.7,0.24,white
38.0,3.6,0.77,white
24.0,2.4,-1.48,black
32.0,3.0,-1.77,black
32.5,3.0,-1.88,white
39.0,3.2,-0.8,white
36.0,3.3,-1.72,white
41.5,3.4,0.99,white
35.0,3.3,-0.39,white
37.0,2.6,1.16,white
28.0,3.2,-2.39,black
29.0,3.0,-0.02,white
33.0,3.2,-0.4,white
48.0,3.4,2.12,white
38.0,2.8,0.58,white
43.0,3.2,1.21,white
31.5,3.0,-0.88,white
27.0,3.3,1.5,white
43.0,3.4,2.03,white
40.0,3.5,-0.21,white
27.0,3.4,-1.21,white
35.0,2.7,0.52,white
41.0,3.7,1.14,white
39.0,3.8,-0.33,white
41.0,2.7,-1.92,white
37.0,3.3,1.14,white
43.0,3.4,-0.16,white
34.0,3.4,-0.64,white
36.0,3.7,0.68,white
35.5,3.2,-1.06,white
40.0,3.4,-0.43,white
32.0,2.4,0.99,white
36.0,2.8,-3.53,white
28.0,2.4,-1.59,black
29.7,2.8,0.63,white
34.5,3.2,0.22,white
31.0,3.1,1.87,white
38.0,2.9,1.16,white
33.0,3.4,-0.68,white
38.0,3.5,-0.07,white
46.0,2.7,0.81,white
37.0,3.2,0.17,white
45.0,3.5,-1.02,white
20.0,2.2,0.89,black
37.0,3.2,0.68,white
38.0,3.1,-0.12,white
41.0,2.9,0.5,white
34.0,3.6,0.37,white
47.0,2.9,0.65,white
45.0,2.6,0.35,white
48.0,3.4,0.7,white
40.0,3.8,-0.63,white
35.0,3.3,-1.8,black
33.0,3.4,-0.2,white
31.0,3.5,-3.25,white
22.0,2.5,-0.6,black
44.0,3.7,-0.56,white
36.5,2.3,-1.01,white
39.0,3.8,1.25,white
45.5,3.9,0.55,white
40.0,2.7,-0.87,white
31.0,3.8,-0.68,white
43.0,3.3,0.13,white
36.0,3.4,1.66,white
39.0,2.9,-0.81,white
38.0,2.2,-0.05,white
41.0,3.2,1.04,white
38.0,3.4,0.03,white
37.0,2.7,-0.33,white
29.0,2.5,-0.25,black
34.0,3.3,0.94,white
34.0,3.1,0.65,white
45.0,3.1,0.66,white
37.0,2.7,0.06,white
34.0,3.0,0.32,white
40.0,3.4,0.22,white
34.0,3.1,-0.35,black
46.0,3.0,0.17,white
31.5,3.1,0.36,white
37.0,3.6,0.79,white
37.0,3.4,0.09,white
39.0,3.1,0.91,white
45.0,3.3,-0.73,white
39.0,3.7,-0.11,black
43.0,3.7,-0.92,white
38.0,3.9,1.31,white
42.0,3.7,1.44,white
36.0,3.2,-1.3,white
34.0,3.1,-0.85,white
46.0,3.5,-0.34,white
35.0,2.5,0.53,white
24.7,3.0,-0.82,white
41.0,3.6,1.45,white
42.0,3.4,0.86,white
36.0,2.6,-0.76,white
35.0,2.8,-0.81,white
31.0,3.2,0.58,white
38.0,2.8,-1.14,white
34.0,3.2,-0.18,white
32.0,3.5,-1.44,white
39.0,3.4,0.32,white
23.0,2.9,-1.44,black
30.0,3.5,-1.75,white
47.0,3.7,1.39,white
35.0,2.8,-1.11,white
36.0,3.5,-0.64,white
42.0,2.8,-0.5,white
44.0,3.8,1.76,white
41.0,2.9,0.08,white
35.0,3.2,0.26,white
41.0,3.6,-0.44,white
36.0,3.3,0.61,white
35.3,3.3,0.22,white
36.0,3.5,-0.06,white
40.0,3.7,-1.62,white
31.0,3.3,-1.2,white
33.0,3.6,0.96,white
35.0,2.7,-1.03,white
36.0,3.1,1.62,white
44.0,3.8,1.86,white
42.0,3.9,1.4,white
39.0,3.6,-0.58,white
40.0,3.9,-1.35,white
20.0,2.7,-0.04,black
33.0,3.3,-2.32,white
35.0,3.2,0.22,white
29.5,2.4,-2.04,black
38.0,3.2,1.28,white
48.0,2.6,-0.55,white
